Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
ProyectoPOO,ec.edu.espol.proyectopoo,Comprador,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Usuario
ProyectoPOO,ec.edu.espol.proyectopoo,Comprador,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Vendedor; Vehiculo; Utilitaria; Comprador; Oferta
ProyectoPOO,ec.edu.espol.proyectopoo,ProyectoPOO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoPOO,ec.edu.espol.proyectopoo,TipoVehiculo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ProyectoPOO,ec.edu.espol.proyectopoo,Vehiculo,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: tipo; placa; correo_vendedor; marca; modelo; tipoDeMotor; a√; recorrido; color; tipoCombustible; precio; vendedor; ofertas; getA√
ProyectoPOO,ec.edu.espol.proyectopoo,Vehiculo,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: Auto
ProyectoPOO,ec.edu.espol.proyectopoo,Vendedor,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Usuario
