Project Name,Package Name,Architecture Smell,Cause of the Smell
Pet-Contest-Management-System-main,com.mycompany.modelo,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.mycompany.proyectopoog7parte2
Pet-Contest-Management-System-main,com.mycompany.modelo,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.mycompany.modelo; com.mycompany.proyectopoog7parte2; com.mycompany.modelo
