Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Pet-Contest-Management-System-main,com.mycompany.enums,TipoAnimal,0,0,0,0,1,0,0,0,-1.0,2,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\enums\TipoAnimal.java,4
Pet-Contest-Management-System-main,com.mycompany.enums,TipoAnimalesConcurso,0,0,0,0,1,0,0,0,-1.0,2,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\enums\TipoAnimalesConcurso.java,4
Pet-Contest-Management-System-main,com.mycompany.modelo,Auspiciante,3,0,21,21,145,24,0,1,0.6666666666666666,7,2,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\modelo\Auspiciante.java,12
Pet-Contest-Management-System-main,com.mycompany.modelo,Ciudad,4,0,13,13,85,17,0,0,0.0,12,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\modelo\Ciudad.java,12
Pet-Contest-Management-System-main,com.mycompany.modelo,Concurso,17,0,53,53,337,60,0,0,0.07547169811320754,2,7,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\modelo\Concurso.java,16
Pet-Contest-Management-System-main,com.mycompany.modelo,DuenioMascota,3,0,15,15,88,19,0,1,0.0,7,2,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\modelo\DuenioMascota.java,12
Pet-Contest-Management-System-main,com.mycompany.modelo,Mascota,9,0,26,26,149,31,0,0,0.07692307692307693,5,4,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\modelo\Mascota.java,17
Pet-Contest-Management-System-main,com.mycompany.modelo,Persona,5,0,12,12,47,12,2,0,0.0,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\modelo\Persona.java,5
Pet-Contest-Management-System-main,com.mycompany.modelo,Premio,4,0,12,12,95,14,0,0,0.25,2,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\modelo\Premio.java,11
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,AdministrarAuspiciantesController,6,0,9,3,87,13,0,0,0.5555555555555556,0,5,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\AdministrarAuspiciantesController.java,24
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,AdministrarCiudadesController,5,0,8,3,86,12,0,0,0.875,0,4,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\AdministrarCiudadesController.java,22
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,AdministrarConcursoController,9,0,12,4,249,35,0,0,0.75,0,9,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\AdministrarConcursoController.java,33
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,AdministrarDueÃ,9,0,7,2,89,10,0,0,0.8571428571428571,0,5,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\AdministrarDueñosController.java,23
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,AdministrarMascotasController,8,0,9,3,104,13,0,0,0.8888888888888888,0,6,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\AdministrarMascotasController.java,24
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,AgregarDueÃ,13,0,6,3,130,11,0,0,0.3333333333333333,1,3,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\AgregarDueñoController.java,15
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,AniadirPremioController,4,0,4,1,51,5,0,0,0.5,0,3,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\AniadirPremioController.java,16
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,App,7,6,5,2,28,5,0,0,0.4,18,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\App.java,12
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,CrearAuspiciantesController,10,0,6,3,132,12,0,0,0.3333333333333333,1,3,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\CrearAuspiciantesController.java,17
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,CrearCiudadController,6,0,6,3,97,10,0,0,0.3333333333333333,1,2,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\CrearCiudadController.java,16
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,CrearConcursoController,23,3,11,6,222,20,0,0,0.18181818181818182,2,6,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\CrearConcursoController.java,35
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,CrearMascotaController,15,0,8,3,208,17,0,0,0.25,1,5,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\CrearMascotaController.java,34
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,DetalleMascotaController,8,0,3,2,62,5,0,0,1.0,1,3,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\DetalleMascotaController.java,22
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,GUIStarter,0,0,1,1,5,1,0,0,-1.0,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\GUIStarter.java,11
Pet-Contest-Management-System-main,com.mycompany.proyectopoog7parte2,MenuPrincipalController,4,0,6,1,26,6,0,0,1.0,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\com\mycompany\proyectopoog7parte2\MenuPrincipalController.java,16
Pet-Contest-Management-System-main,utils,AlertGenerator,0,0,1,1,9,1,0,0,-1.0,5,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\utils\AlertGenerator.java,7
Pet-Contest-Management-System-main,utils,Correo,2,2,1,1,28,1,0,0,0.0,1,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\utils\Correo.java,16
Pet-Contest-Management-System-main,utils,UtilDate,0,0,1,1,11,1,0,0,-1.0,4,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo2\Pet-Contest-Management-System-main\Pet-Contest-Management-System-main\src\main\java\utils\UtilDate.java,9
