Project Name,Package Name,Architecture Smell,Cause of the Smell
ProyectoPooBacan-main,ec.edu.espol.proyectop1,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [App; Starter]; [Auto; Camioneta; Usuario; Vehiculo; Oferta]; [Utilitaria]. LCC (Lack of Component Cohesion) = 0.38
ProyectoPooBacan-main,ec.edu.espol.proyectop1.controllers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CambiarClaveController; PerfilController; CarrosUsuarioController; InicioController; LoginController; SpecsAceptarOfertaController; CreacionController; CarrosEncontradosController; MisCarrosController; SpecsCarroController]; [MisOfertasController]; [NuevousuarioController]. LCC (Lack of Component Cohesion) = 0.25
