Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
ProyectoPooBacan-main,ec.edu.espol.proyectop1,Auto,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Vehiculo
ProyectoPooBacan-main,ec.edu.espol.proyectop1,Camioneta,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Auto
ProyectoPooBacan-main,ec.edu.espol.proyectop1,Starter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoPooBacan-main,ec.edu.espol.proyectop1.controllers,CarrosEncontradosController,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CarrosEncontradosController; SpecsCarroController
ProyectoPooBacan-main,ec.edu.espol.proyectop1.controllers,CarrosUsuarioController,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: PerfilController; InicioController; CreacionController; MisCarrosController; CarrosUsuarioController; SpecsAceptarOfertaController
ProyectoPooBacan-main,ec.edu.espol.proyectop1.controllers,LoginController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoPooBacan-main,ec.edu.espol.proyectop1.controllers,MisOfertasController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoPooBacan-main,ec.edu.espol.proyectop1.controllers,NuevousuarioController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoPooBacan-main,ec.edu.espol.proyectop1.controllers,PerfilController,Feature Envy,The tool detected a instance of this smell because setUsuarioPerfil is more interested in members of the type: Usuario
ProyectoPooBacan-main,ec.edu.espol.proyectop1.excepciones,CorreoExistenteException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoPooBacan-main,ec.edu.espol.proyectop1.excepciones,placaExisteException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoPooBacan-main,ec.edu.espol.proyectop1.excepciones,UsuarioNoExisteException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
