Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Taller01-snake-main,com.espol.taller01.snake,Constants,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: SIZE
Taller01-snake-main,com.espol.taller01.snake,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SIZE
Taller01-snake-main,com.espol.taller01.snake,GameFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Taller01-snake-main,com.espol.taller01.snake,GoldModel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Taller01-snake-main,com.espol.taller01.snake,GoldModel.Directions,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: xDelta; yDelta
Taller01-snake-main,com.espol.taller01.snake,GoldModel.Directions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Taller01-snake-main,com.espol.taller01.snake,GoldModel.GoldModel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Taller01-snake-main,com.espol.taller01.snake,GoldModel.GoldModel,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: xDelta; yDelta; COIN_START_AMOUNT; COIN_TILE; COLLECTOR_TILE; BLANK_TILE; coins; collectorPos; direction; score; changes
Taller01-snake-main,com.espol.taller01.snake,GoldModel.Directions,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: xDelta; yDelta
Taller01-snake-main,com.espol.taller01.snake,GoldModel.Directions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Taller01-snake-main,com.espol.taller01.snake,GUIView.StartGameListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Taller01-snake-main,com.espol.taller01.snake,GUIView.StartGameListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Taller01-snake-main,com.espol.taller01.snake,Main,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Taller01-snake-main,com.espol.taller01.snake,RectangularTile,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Taller01-snake-main,com.espol.taller01.snake,RoundTile,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Taller01-snake-main,com.espol.taller01.snake,SnakeModel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Taller01-snake-main,com.espol.taller01.snake,SnakeModel.Directions,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: xDelta; yDelta
Taller01-snake-main,com.espol.taller01.snake,SnakeModel.Directions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
