Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos,App,start,5,1,1,19,0,g3.g3_proyecto_contactos.App,g3.g3_proyecto_contactos.App
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos,App,setRoot,3,1,1,26,0,g3.g3_proyecto_contactos.App,g3.g3_proyecto_contactos.App
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos,App,loadFXML,4,1,1,30,0,,
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos,App,main,3,1,1,35,0,,
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.controllers,ContactVisualizationController,initialize,2,1,2,18,0,,
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.dataStructures,ArrayList,ArrayList,4,1,0,21,0,,
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.dataStructures,ArrayList,addFirst,18,5,1,27,0,g3.g3_proyecto_contactos.dataStructures.ArrayList,g3.g3_proyecto_contactos.dataStructures.ArrayList
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.dataStructures,ArrayList,insert,14,4,2,48,0,g3.g3_proyecto_contactos.dataStructures.ArrayList,g3.g3_proyecto_contactos.dataStructures.ArrayList
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.dataStructures,ArrayList,set,8,2,2,65,0,,
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.dataStructures,ArrayList,addLast,10,3,1,78,0,g3.g3_proyecto_contactos.dataStructures.ArrayList,g3.g3_proyecto_contactos.dataStructures.ArrayList
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.dataStructures,ArrayList,addCapacity,8,2,0,91,0,,
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.dataStructures,ArrayList,getFirst,3,1,0,101,0,,
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.dataStructures,ArrayList,getLast,3,1,0,107,0,,
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.dataStructures,ArrayList,removeFirst,11,3,0,113,0,g3.g3_proyecto_contactos.dataStructures.ArrayList,g3.g3_proyecto_contactos.dataStructures.ArrayList
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.dataStructures,ArrayList,removeLast,7,2,0,129,0,g3.g3_proyecto_contactos.dataStructures.ArrayList,g3.g3_proyecto_contactos.dataStructures.ArrayList
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.dataStructures,ArrayList,isEmpty,3,1,0,140,0,,
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.dataStructures,ArrayList,contains,11,4,1,146,0,g3.g3_proyecto_contactos.dataStructures.ArrayList,g3.g3_proyecto_contactos.dataStructures.ArrayList
G3_Proyecto1_EDD-main,g3.g3_proyecto_contactos.dataStructures,ArrayList,toString,14,3,0,161,0,,
