Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
POO-P3-G05-master,com.mycompany.proyectofinal,App,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: email; scene
POO-P3-G05-master,com.mycompany.proyectofinal,Datos4Controller,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
POO-P3-G05-master,com.mycompany.proyectofinal,IngresoPorServiciosController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
POO-P3-G05-master,com.mycompany.proyectofinal,IngresoPorTecnicoController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
POO-P3-G05-master,com.mycompany.proyectofinal,MemoriaController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: panel1; temporizador; lbAciertos; vbRegistro; txtCedula; txtNombre; btnIniciar; imgLogoMemoria; firstVal; firstRectangle; seg; min; acabo; clienteValido; cedula; nombre; aciertos; fallos
POO-P3-G05-master,com.mycompany.proyectofinal,NuevFactController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
POO-P3-G05-master,com.mycompany.proyectofinal,TertiaryController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: user; o; ordenDetalle; facturaDetalle; lblFiltrarpor; lblCodigo; lblFecha; lblCliente; btnVerDetalle; tfFiltroCliente; tfFiltroFecha; tfFiltroCodigo; lblTitulo; btnAtras; btnAgregar; btnEditar; btnEliminar; clientes; tblClientes; columnCedulaC; columnNombreC; columnDireccionC; columnTelefonoC; columnTipoC; proveedores; tblProveedores; columnCedulaP; columnNombreP; columnDireccionP; columnTelefonoP; servicios; tblServicios; columnCodigoS; columnNombreS; columnPrecioS; clientesjuego; tblClientesJuego; columnNombreCJ; columnFechaCJ; columnTiempoCJ; columnAciertosCJ; columnFallosCJ; filtroOrden; filtroOrden2; filtroOrden3; ordenes; tblOrdenes; columnCodigo; columnFecha; columnNomCliente; columnTotalPagar; txtReporteInsumo; btnReporte; facturas; btnNuevaFactura; tblFactura; clmEmpresa; clmPeriodo; clmTotalAPagar; btnDetalleFact
POO-P3-G05-master,com.mycompany.proyectofinal,VerDetalleController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
POO-P3-G05-master,com.mycompany.proyectofinal,VerDetalleFactController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
POO-P3-G05-master,Enums,TipoCliente,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
POO-P3-G05-master,Enums,TipoVehiculo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
POO-P3-G05-master,modelo,Proveedor,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Miembro
POO-P3-G05-master,usuario,Admin,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Usuario
POO-P3-G05-master,usuario,Cobranza,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Usuario
POO-P3-G05-master,usuario,Tecnico,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Usuario
POO-P3-G05-master,usuario,Usuario,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: Admin
