Project Name,Package Name,Architecture Smell,Cause of the Smell
algo-main,ejerc.proyecto.estructuras,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [App; CrearContacto; InicioSesion; Menu; Registro; Usuario; VentanaDetalles; VentanaEditar; verContactos]; [ListadeContactos]; [SystemInfo]. LCC (Lack of Component Cohesion) = 0.27
algo-main,espol.utilidades,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Archivos; ArrayList; List; LinkedList; Node]; [DoubleLinkedList]; [DoubleLinkedList.Nodo]. LCC (Lack of Component Cohesion) = 0.43
algo-main,Objetos,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Contacto; ContactoEmpresa; ContactoPersona]; [Contacto.ComparatorPaisResidencia]; [Contacto.ComparatorTipoContacto]; [Contacto.ComparatorCantidadAtributos]. LCC (Lack of Component Cohesion) = 0.67
