Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,initialize,3,1,2,148,0,,
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,crearContacto,23,3,1,161,0,Modelo.Contacto,Modelo.Contacto; ec.edu.espol.proyectocontactos.AgregarContactosController
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,Favorito,8,2,0,186,0,Modelo.Contacto,Modelo.Contacto
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,guardarContacto,16,3,0,194,0,Modelo.Usuario,Modelo.Usuario; ec.edu.espol.proyectocontactos.ContactosController
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addFoto,14,2,0,212,0,Modelo.Contacto,Modelo.Contacto; ec.edu.espol.proyectocontactos.AgregarContactosController
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addFecha,11,3,1,241,0,Modelo.Contacto,Modelo.Contacto; ec.edu.espol.proyectocontactos.AgregarContactosController
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addRelacion,20,7,1,253,0,Modelo.Usuario,Modelo.Usuario; Modelo.Contacto; ec.edu.espol.proyectocontactos.AgregarContactosController
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addEmail,10,3,1,277,0,Modelo.Contacto,Modelo.Contacto; ec.edu.espol.proyectocontactos.AgregarContactosController
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addDireccion,10,3,1,288,0,ec.edu.espol.proyectocontactos.AgregarContactosController,ec.edu.espol.proyectocontactos.AgregarContactosController; Modelo.Contacto
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addTelefono,10,3,1,299,0,Modelo.Contacto,Modelo.Contacto; ec.edu.espol.proyectocontactos.AgregarContactosController
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addRed,10,3,1,310,0,Modelo.Contacto,Modelo.Contacto; ec.edu.espol.proyectocontactos.AgregarContactosController
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,setContactosController,3,1,1,321,0,,
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,AlertaCampos,6,1,0,325,0,,
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,AlertaAdd,6,1,0,332,0,,
ProyectoContactos,ec.edu.espol.proyectocontactos,App,start,9,1,1,20,0,ec.edu.espol.proyectocontactos.App,ec.edu.espol.proyectocontactos.App
ProyectoContactos,ec.edu.espol.proyectocontactos,App,setRoot,3,1,1,32,0,ec.edu.espol.proyectocontactos.App,ec.edu.espol.proyectocontactos.App
ProyectoContactos,ec.edu.espol.proyectocontactos,App,loadFXML,4,1,1,36,0,,
ProyectoContactos,ec.edu.espol.proyectocontactos,App,main,3,1,1,41,0,,
ProyectoContactos,ec.edu.espol.proyectocontactos,ContactosController,initialize,41,5,2,78,0,,
ProyectoContactos,ec.edu.espol.proyectocontactos,ContactosController,AgregarContacto,16,1,1,127,0,,
ProyectoContactos,ec.edu.espol.proyectocontactos,ContactosController,setUsuario,3,1,1,149,0,,
ProyectoContactos,ec.edu.espol.proyectocontactos,ContactosController,setContacto,3,1,1,153,0,,
ProyectoContactos,ec.edu.espol.proyectocontactos,ContactosController,setLoginController,3,1,1,157,0,,
