Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ContactosController; LoginController; AgregarContactosController
ProyectoContactos,ec.edu.espol.proyectocontactos,App,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoContactos,ec.edu.espol.proyectocontactos,ContactosController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: usuario; contacto; BtnAgregar; ListaContacto; mostrarInformacionBtn; removeBtn; choiceOrdenar; ordenarButton; loginController; Contactos; ordenamientos
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 32 methods
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController.IteratorBefore,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: iterator
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController.IteratorBefore,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoContactos,ec.edu.espol.proyectocontactos,SignUpController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoContactos,Modelo,ArrayList,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 32 public methods
ProyectoContactos,Modelo,CircularNodeList,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoContactos,Modelo,Contacto,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods
ProyectoContactos,Modelo,DoubleCircleLinkedList,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
ProyectoContactos,Modelo,DoubleCircleLinkedList.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: contenido; sig; anterior
ProyectoContactos,Modelo,DoubleCircleLinkedList.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoContactos,Modelo,DoublyCircularLInkedList,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoContactos,Modelo,DoublyCircularLInkedList,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods
ProyectoContactos,Modelo,DoublyCircularLInkedList.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: content; previous; next
ProyectoContactos,Modelo,DoublyCircularLInkedList.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoContactos,Modelo,Usuario,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: nombreUsuario; contrase√; tipoUsuario; contactos; serialVersionUID; getContrase√; setContrase√
