Project Name,Package Name,Architecture Smell,Cause of the Smell
ProyectoContactos,ec.edu.espol.proyectocontactos,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AgregarContactosController; ContactosController; LoginController; MostrarContactoController]; [App]; [MostrarContactoController.IteratorBefore]; [SignUpController]. LCC (Lack of Component Cohesion) = 0.57
ProyectoContactos,Modelo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArrayList; Contacto; DoubleCircleLinkedList; Relacion; Usuario]; [CircularNodeList]; [Direccion]; [DoubleCircleLinkedList.Node]; [DoublyCircularLInkedList]; [DoublyCircularLInkedList.Node]; [Email]; [FechaInteres]; [redSocial]; [Telefono]. LCC (Lack of Component Cohesion) = 0.71
