Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
RecorridoHeap-master,edu.espol.recorridoheap,App,1,0,4,2,24,4,0,0,0.5,3,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E12\Repo1\RecorridoHeap-master\RecorridoHeap-master\src\main\java\edu\espol\recorridoheap\App.java,12
RecorridoHeap-master,edu.espol.recorridoheap,GraficaArbol,3,0,5,4,38,8,0,0,0.0,1,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E12\Repo1\RecorridoHeap-master\RecorridoHeap-master\src\main\java\edu\espol\recorridoheap\GraficaArbol.java,18
RecorridoHeap-master,edu.espol.recorridoheap,GuiStarter,0,0,1,1,8,1,0,0,-1.0,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E12\Repo1\RecorridoHeap-master\RecorridoHeap-master\src\main\java\edu\espol\recorridoheap\GuiStarter.java,7
RecorridoHeap-master,edu.espol.recorridoheap,IndexController,10,0,8,7,103,15,0,0,0.375,0,3,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E12\Repo1\RecorridoHeap-master\RecorridoHeap-master\src\main\java\edu\espol\recorridoheap\IndexController.java,28
RecorridoHeap-master,edu.espol.recorridoheap,PresentacionController,5,0,5,3,71,5,0,0,0.6,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E12\Repo1\RecorridoHeap-master\RecorridoHeap-master\src\main\java\edu\espol\recorridoheap\PresentacionController.java,18
RecorridoHeap-master,edu.espol.recorridoheap.tda,Heap,4,0,19,15,217,47,0,0,0.0,2,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E12\Repo1\RecorridoHeap-master\RecorridoHeap-master\src\main\java\edu\espol\recorridoheap\tda\Heap.java,12
