Project Name,Package Name,Architecture Smell,Cause of the Smell
Meteor-main,dev.pixelib.meteor.benchmarks,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MeteorBench]; [ScoresWithMaps]; [ScoresWithMaps.PersonalScores]; [ScoresWithMaps.ScoreboardImplementation]; [SimpleIncrement]; [SimpleIncrement.Scoreboard]; [SimpleIncrement.ScoreboardImplementation]. LCC (Lack of Component Cohesion) = 1.0
Meteor-main,dev.pixelib.meteor.sender,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ScoreboardExample]; [ScoreboardExample.Scoreboard]; [ScoreboardExample.ScoreboardImplementation]; [SendingUpdateMethod]; [SendingUpdateMethod.MathAdd]; [SendingUpdateMethod.MathSubstract]; [SendingUpdateMethod.MathMultiply]; [SendingUpdateMethod.MathFunctionsImpl]; [SendingUpdateMethodRedis]; [SendingUpdateMethodRedis.MathAdd]; [SendingUpdateMethodRedis.MathSubstract]; [SendingUpdateMethodRedis.MathMultiply]; [SendingUpdateMethodRedis.MathFunctionsImpl]. LCC (Lack of Component Cohesion) = 1.0
Meteor-main,dev.pixelib.meteor.core,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): dev.pixelib.meteor.core.trackers; dev.pixelib.meteor.core.transport
Meteor-main,dev.pixelib.meteor.core,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Meteor; MeteorLoopbackTest; MeteorTest]; [LogicTest]; [MeteorLoopbackTest.ImplementationTracker]; [MeteorLoopbackTest.TrackerImpl]. LCC (Lack of Component Cohesion) = 0.67
Meteor-main,dev.pixelib.meteor.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: dev.pixelib.meteor.core; dev.pixelib.meteor.core.utils; dev.pixelib.meteor.core
Meteor-main,dev.pixelib.meteor.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: dev.pixelib.meteor.core; dev.pixelib.meteor.core.transport.packets; dev.pixelib.meteor.core.utils; dev.pixelib.meteor.core
Meteor-main,dev.pixelib.meteor.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: dev.pixelib.meteor.core; dev.pixelib.meteor.core.executor; dev.pixelib.meteor.core.utils; dev.pixelib.meteor.core
Meteor-main,dev.pixelib.meteor.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: dev.pixelib.meteor.core; dev.pixelib.meteor.core.transport; dev.pixelib.meteor.core.trackers; dev.pixelib.meteor.core.utils; dev.pixelib.meteor.core
Meteor-main,dev.pixelib.meteor.core.proxy,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: dev.pixelib.meteor.core.proxy; dev.pixelib.meteor.core.trackers; dev.pixelib.meteor.core.proxy
Meteor-main,dev.pixelib.meteor.core.trackers,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): dev.pixelib.meteor.core.proxy
Meteor-main,dev.pixelib.meteor.core.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): dev.pixelib.meteor.core
