Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
EDD_2-main,EDD_2,App,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: path (17); isX (18); playerTurn (19)
EDD_2-main,EDD_2.controllers,GameController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: EDD_2.models.Board; EDD_2.models.Player
EDD_2-main,EDD_2.controllers,GameCvCController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: EDD_2.models.Board; EDD_2.models.Computer
EDD_2-main,EDD_2.controllers,GamePvCController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: EDD_2.models.Person; EDD_2.models.Board; EDD_2.models.Computer
EDD_2-main,EDD_2.controllers,SelectingController,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: playerName (54)
EDD_2-main,EDD_2.dataStructures,Tree,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: EDD_2.dataStructures.TreeNode
EDD_2-main,EDD_2.models,Computer,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: EDD_2.models.MiniMax
EDD_2-main,EDD_2.models,MiniMax,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: EDD_2.dataStructures.Tree
EDD_2-main,EDD_2.models,MiniMax,Law of Demeter violation,The tool detected the smell in this method (setMin) because the method voilates the law of Demeter. The long chain of method invocations is : EDD_2.dataStructures.TreeNode.getChildren; EDD_2.dataStructures.Tree.getRootNode
EDD_2-main,EDD_2.models,MiniMax,Law of Demeter violation,The tool detected the smell in this method (setMin) because the method voilates the law of Demeter. The long chain of method invocations is : EDD_2.dataStructures.TreeNode.getChildren; EDD_2.dataStructures.Tree.getRootNode
EDD_2-main,EDD_2.models,MiniMax,Law of Demeter violation,The tool detected the smell in this method (childrenUtilities) because the method voilates the law of Demeter. The long chain of method invocations is : EDD_2.dataStructures.Tree.getRoot; EDD_2.models.Board.utility
EDD_2-main,EDD_2.models,MiniMax,Law of Demeter violation,The tool detected the smell in this method (searchMax) because the method voilates the law of Demeter. The long chain of method invocations is : EDD_2.dataStructures.TreeNode.getChildren; EDD_2.dataStructures.Tree.getRootNode
EDD_2-main,EDD_2.models,MiniMax,Law of Demeter violation,The tool detected the smell in this method (maxUtility) because the method voilates the law of Demeter. The long chain of method invocations is : EDD_2.dataStructures.TreeNode.getChildren; EDD_2.dataStructures.Tree.getRootNode
