Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
EDD_2-main,EDD_2,App,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: scene; path; isX; playerTurn
EDD_2-main,EDD_2.controllers,GameController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
EDD_2-main,EDD_2.controllers,GameCvCController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
EDD_2-main,EDD_2.controllers,GamePvCController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
EDD_2-main,EDD_2.controllers,GamePvCController,Feature Envy,The tool detected a instance of this smell because recoverPerson is more interested in members of the type: Person
EDD_2-main,EDD_2.controllers,LauncherController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
EDD_2-main,EDD_2.controllers,RankingController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
EDD_2-main,EDD_2.controllers,RankingController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ranking; rCola; tblRanking; colNickname; colWins; colDefeats; home
EDD_2-main,EDD_2.controllers,SelectingController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: iniciarRadioBtn; oRadioBtn; icon; xRadioBtn; confirm; cancel; gif; txtPlayerName; YesBtn; NoBtn; startLabel; playerName
EDD_2-main,EDD_2.models,Board,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: utility; board; size; x; o; winnerPos
EDD_2-main,EDD_2.models,Computer,Feature Envy,The tool detected a instance of this smell because calculateBestMove is more interested in members of the type: MiniMax
EDD_2-main,EDD_2.models,Partida,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: playerX; playerCicle; isXTurn; CurrentTablero
EDD_2-main,EDD_2.models,Partida,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
