Project Name,Package Name,Architecture Smell,Cause of the Smell
EDD_2-main,EDD_2.controllers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GameController]; [GameCvCController]; [GamePvCController; SelectingController]; [LauncherController]; [RankingController]. LCC (Lack of Component Cohesion) = 0.83
EDD_2-main,EDD_2.models,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Board; Computer; MiniMax; Partida; Player; Person]; [Ranking]. LCC (Lack of Component Cohesion) = 0.29
