Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
criptoExchangeApplication,com.globant.application.config,Cache,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: globalCacheInstance; currentUser; currentUserWallet; currentUserBankAccount; exchange; exchangeWallet; exchangeBankAccount; currentUserTransactionHistory
criptoExchangeApplication,com.globant.application.config,DefaultServiceBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
criptoExchangeApplication,com.globant.application.config,ExchangeInitializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
criptoExchangeApplication,com.globant.application.config,ExchangeInitializer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: walletRepository; bankAccountRepository; exchangeInstance; walletFactory; bankAccountFactory
criptoExchangeApplication,com.globant.application,CriptoExchangeApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
criptoExchangeApplication,com.globant.application.exceptions,UserAlreadyExistException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ApplicationException
criptoExchangeApplication,com.globant.application.repositories,BankAccountSerRepository,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SerRepository
criptoExchangeApplication,com.globant.application.repositories,TransactionHistorySerRepository,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SerRepository
criptoExchangeApplication,com.globant.application.repositories,UserRepository,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Repository
criptoExchangeApplication,com.globant.application.repositories,WalletSerRepository,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SerRepository
criptoExchangeApplication,com.globant.application.repositories.exceptions,BankAccountNotFoundException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): KeyNotFoundException
criptoExchangeApplication,com.globant.application.repositories.exceptions,KeyNotFoundException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RepositoryException
criptoExchangeApplication,com.globant.application.repositories.exceptions,RepositoryConnectionException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RepositoryException
criptoExchangeApplication,com.globant.application.repositories.exceptions,TransactionHistoryNotFoundException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): KeyNotFoundException
criptoExchangeApplication,com.globant.application.repositories.exceptions,UserNotFoundException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): KeyNotFoundException
criptoExchangeApplication,com.globant.application.repositories.exceptions,WalletNotFoundException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): KeyNotFoundException
criptoExchangeApplication,com.globant.application.services.authentication,SignInUseCaseImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
criptoExchangeApplication,com.globant.application.services.authentication,SignUpUseCaseImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
criptoExchangeApplication,com.globant.application.services.exchange,ExchangeCryptoCurrencyUseCaseImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
criptoExchangeApplication,com.globant.application.services.exchange,ExchangeCryptoCurrencyUseCaseImpl,Feature Envy,The tool detected a instance of this smell because validateExchange is more interested in members of the type: Cache
criptoExchangeApplication,com.globant.application.services.exchange,PlaceBuyOrderUseCaseImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
criptoExchangeApplication,com.globant.application.services.exchange,PlaceBuyOrderUseCaseImpl,Feature Envy,The tool detected a instance of this smell because generateTransaction is more interested in members of the type: Repository
criptoExchangeApplication,com.globant.application.services.exchange,PlaceSaleOrderUseCaseImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
criptoExchangeApplication,com.globant.application.services.exchange,PlaceSaleOrderUseCaseImpl,Feature Envy,The tool detected a instance of this smell because generateTransaction is more interested in members of the type: Repository
