Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
criptoExchangeApplication,com.globant.application.config,ApplicationCache,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
criptoExchangeApplication,com.globant.application.config,DefaultServiceBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 20
criptoExchangeApplication,com.globant.application.config,ExchangeInitializer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
criptoExchangeApplication,com.globant.application.services.authentication,AuthenticationService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
criptoExchangeApplication,com.globant.application.services.authentication,SignUpUseCaseImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
criptoExchangeApplication,com.globant.application.services.exchange,ExchangeCryptoCurrencyUseCaseImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
criptoExchangeApplication,com.globant.application.services.exchange,PlaceBuyOrderUseCaseImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
criptoExchangeApplication,com.globant.application.services.exchange,PlaceSaleOrderUseCaseImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
criptoExchangeApplication,com.globant.infrastructure.fxml,FxmlApp,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: authenticationService (26); walletService (27); exchangeService (28)
