Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
criptoExchangeApplication,com.globant.application.config,DefaultServiceBuilder,buildExchangeService,Long Statement,The length of the statement "ExchangeCryptoCurrencyUseCase exchangeCryptoCurrencyUseCase=new ExchangeCryptoCurrencyUseCaseImpl(bankAccountRepository`transactionExecuter`walletRepository`transactionHistoryRepository);" is 187.,75
criptoExchangeApplication,com.globant.application.config,DefaultServiceBuilder,buildExchangeService,Long Statement,The length of the statement "PlaceSaleOrderUseCase placeSaleOrderUseCase=new PlaceSaleOrderUseCaseImpl(userRepository`walletRepository`bankAccountRepository`exchangeInstance`transactionHistoryRepository);" is 175.,75
criptoExchangeApplication,com.globant.application.config,DefaultServiceBuilder,buildExchangeService,Long Statement,The length of the statement "PlaceBuyOrderUseCase placeBuyOrderUseCase=new PlaceBuyOrderUseCaseImpl(userRepository`walletRepository`bankAccountRepository`exchangeInstance`transactionHistoryRepository);" is 172.,75
criptoExchangeApplication,com.globant.application.config,ExchangeInitializer,initExchange,Long Statement,The length of the statement "BankAccount exchangeBankAccount=bankAccountFactory.createAccount(BankName.PACIFICO`exchange.getNumberAccount().getNumberAccount());" is 131.,49
criptoExchangeApplication,com.globant.application.dto,SignUpDTO,SignUpDTO,Long Parameter List,The method has 5 parameters. ,16
criptoExchangeApplication,com.globant.application.dto,UserDTO,UserDTO,Long Parameter List,The method has 5 parameters. ,18
criptoExchangeApplication,com.globant.application.services.authentication,AuthenticationService,signUp,Long Statement,The length of the statement "signedUserDTO=new UserDTO(signedUser.getNumberAccount().getNumberAccount()`signedUser.getUserID()`signedUser.getWalletID()`signedUser.getUserAccount().getName()`signedUser.getUserAccount().getEmail());" is 201.,31
criptoExchangeApplication,com.globant.application.services.authentication,AuthenticationService,signIn,Long Statement,The length of the statement "signedUserDTO=new UserDTO(signedUser.getNumberAccount().getNumberAccount()`signedUser.getUserID()`signedUser.getWalletID()`signedUser.getUserAccount().getName()`signedUser.getUserAccount().getEmail());" is 201.,40
criptoExchangeApplication,com.globant.application.services.exchange,ExchangeCryptoCurrencyUseCaseImpl,executePayment,Long Statement,The length of the statement "bankAccountRepository.save(cache.currentUserBankAccount.getNumberAccount().getNumberAccount()`cache.currentUserBankAccount);" is 124.,75
criptoExchangeApplication,com.globant.application.services.exchange,ExchangeCryptoCurrencyUseCaseImpl,addTransaction,Long Statement,The length of the statement "Transaction transaction=new Transaction(totalPrice`dto.getAmount()`dto.getCryptoName()`dto.getUserID()`TransactionType.BUY);" is 124.,82
