Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
proyectoMD,com.mycompany.proyectomd,App,3,2,4,2,27,4,0,0,0.5,22,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\App.java,13
proyectoMD,com.mycompany.proyectomd,Cinematica3Controller,5,0,4,1,33,4,0,0,0.5,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Cinematica3Controller.java,20
proyectoMD,com.mycompany.proyectomd,Cinematica4Controller,4,0,4,1,32,4,0,0,0.5,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Cinematica4Controller.java,20
proyectoMD,com.mycompany.proyectomd,Cinematica5Controller,3,0,4,1,31,4,0,0,0.5,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Cinematica5Controller.java,21
proyectoMD,com.mycompany.proyectomd,Cinematica6Controller,4,0,4,1,32,4,0,0,0.5,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Cinematica6Controller.java,20
proyectoMD,com.mycompany.proyectomd,CinematicaController,4,0,4,1,34,4,0,0,0.5,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\CinematicaController.java,22
proyectoMD,com.mycompany.proyectomd,FinJuegoController,1,0,4,1,28,4,0,0,0.5,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\FinJuegoController.java,21
proyectoMD,com.mycompany.proyectomd,GUIStarter,0,0,1,1,5,1,0,0,-1.0,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\GUIStarter.java,4
proyectoMD,com.mycompany.proyectomd,MainMenuController,0,0,3,1,10,3,0,0,-1.0,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\MainMenuController.java,15
proyectoMD,com.mycompany.proyectomd,Nivel1Controller,27,0,12,1,194,27,0,0,0.25,0,4,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Nivel1Controller.java,40
proyectoMD,com.mycompany.proyectomd,Nivel2Controller,12,0,12,1,182,29,0,0,0.25,0,5,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Nivel2Controller.java,23
proyectoMD,com.mycompany.proyectomd,Nivel3Controller,7,1,9,1,104,13,0,0,0.3333333333333333,0,4,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Nivel3Controller.java,24
proyectoMD,com.mycompany.proyectomd,Nivel4Controller,15,0,12,1,192,30,0,0,0.3333333333333333,0,4,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Nivel4Controller.java,23
proyectoMD,com.mycompany.proyectomd,Nivel5Controller,16,0,12,1,205,32,0,0,0.25,0,4,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Nivel5Controller.java,29
proyectoMD,com.mycompany.proyectomd,Nivel6Controller,15,0,12,1,196,32,0,0,0.25,0,4,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Nivel6Controller.java,29
proyectoMD,com.mycompany.proyectomd,NuevaCinematicaController,4,0,4,1,32,4,0,0,0.5,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\NuevaCinematicaController.java,21
proyectoMD,com.mycompany.proyectomd,Resultado1Controller,6,1,4,1,34,4,0,0,0.5,1,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Resultado1Controller.java,20
proyectoMD,com.mycompany.proyectomd,Resultado2Controller,6,1,4,1,37,4,0,0,0.5,1,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Resultado2Controller.java,23
proyectoMD,com.mycompany.proyectomd,Resultado3Controller,8,2,4,1,40,4,0,0,0.5,2,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Resultado3Controller.java,21
proyectoMD,com.mycompany.proyectomd,Resultado4Controller,6,1,4,1,37,4,0,0,0.5,1,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Resultado4Controller.java,21
proyectoMD,com.mycompany.proyectomd,Resultado5Controller,6,1,4,1,37,4,0,0,0.5,1,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E10\Repo1\ProyectoMatematicasDiscretas-main\ProyectoMatematicasDiscretas-main\proyectoMD\src\main\java\com\mycompany\proyectomd\Resultado5Controller.java,24
