Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
ConexionPrueba,conexionprueba,ConexionPrueba,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: conexionprueba.Conectar
ConexionPrueba,conexionprueba,PaneOrganizer,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: conexionprueba.Conectar
ConexionPrueba,conexionprueba,Probar,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: conexionprueba.Conectar
