Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
WK2-IS2-main,com.group,FuncionAdicional,FuncionAdicional,4,1,2,7,0,,
WK2-IS2-main,com.group,FuncionAdicional,getNombre,3,1,0,12,0,,
WK2-IS2-main,com.group,FuncionAdicional,setNombre,3,1,1,17,0,,
WK2-IS2-main,com.group,FuncionAdicional,getCosto,3,1,0,21,0,,
WK2-IS2-main,com.group,FuncionAdicional,setCosto,3,1,1,25,0,,
WK2-IS2-main,com.group,GimnasioAPP,main,19,3,1,3,0,,
WK2-IS2-main,com.group,Membresia,Membresia,3,1,1,11,0,,
WK2-IS2-main,com.group,Membresia,getCostoFuncionesAdicionales,3,1,0,15,0,,
WK2-IS2-main,com.group,Membresia,setCostoFuncionesAdicionales,3,1,1,19,0,,
WK2-IS2-main,com.group,Membresia,calcularCostoTotal,12,3,0,23,0,,
WK2-IS2-main,com.group,Membresia,calcularCostoFinal,17,4,0,36,0,,
WK2-IS2-main,com.group,Membresia,setMiembros,3,1,1,54,0,,
WK2-IS2-main,com.group,Membresia,infoDescuento,32,5,0,58,0,,
WK2-IS2-main,com.group,Membresia,confirmarMembresia,20,2,0,97,0,com.group.Membresia,com.group.Membresia
WK2-IS2-main,com.group,Membresia,getMiembros,3,1,0,119,0,,
WK2-IS2-main,com.group,PlanMembresia,PlanMembresia,7,1,5,14,0,,
WK2-IS2-main,com.group,PlanMembresia,PlanMembresia,7,1,3,22,0,,
WK2-IS2-main,com.group,PlanMembresia,getTypeMember,3,1,0,30,0,,
WK2-IS2-main,com.group,PlanMembresia,setTypeMember,3,1,1,34,0,,
WK2-IS2-main,com.group,PlanMembresia,getNombre,3,1,0,39,0,,
WK2-IS2-main,com.group,PlanMembresia,getCostoBase,3,1,0,43,0,,
WK2-IS2-main,com.group,PlanMembresia,setCostoBase,3,1,1,47,0,,
WK2-IS2-main,com.group,PlanMembresia,getBeneficios,3,1,0,51,0,,
WK2-IS2-main,com.group,PlanMembresia,getFuncionesAdicionales,3,1,0,55,0,,
WK2-IS2-main,com.group,PlanMembresia,setFuncionesAdicionales,3,1,1,59,0,,
WK2-IS2-main,com.group,PlanMembresia,mostrarInfo,5,1,0,64,0,,
WK2-IS2-main,com.group,PlanMembresia,mostrarFuncionalidadesAdicionales,6,2,0,71,0,,
WK2-IS2-main,com.group,SeleccionMembresia,SeleccionMembresia,4,1,0,11,0,com.group.SeleccionMembresia,com.group.SeleccionMembresia
WK2-IS2-main,com.group,SeleccionMembresia,inicializarPlanes,12,1,0,17,0,,
WK2-IS2-main,com.group,SeleccionMembresia,mostrarPlanes,8,2,0,32,0,,
WK2-IS2-main,com.group,SeleccionMembresia,seleccionarPlan,13,2,0,43,0,com.group.SeleccionMembresia,com.group.SeleccionMembresia
WK2-IS2-main,com.group,MembresiaTest,testCalcularCostroPremium,7,1,0,12,1,,
WK2-IS2-main,com.group,MembresiaTest,testCalcularCostoTotalFamily,7,1,0,21,1,,
WK2-IS2-main,com.group,MembresiaTest,testEntradaNoValidaMiembros,10,1,0,32,1,,
WK2-IS2-main,com.group,MembresiaTest,testAgregarFuncionAdicional,10,1,0,43,1,,
