Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,BuyerController,findByAll,Long Statement,The length of the statement "List<BuyerDto> buyerDtoList=buyerService.findAll().stream().map(buyer -> BuyerDto.builder().name(buyer.getName()).id(buyer.getId()).email(buyer.getEmail()).dni(buyer.getDni()).comboEntities(buyer.getComboEntities()).build()).toList();" is 234.,24
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,BuyerController,findById,Long Statement,The length of the statement "BuyerDto buyerDto=BuyerDto.builder().id(buyer.getId()).name(buyer.getName()).email(buyer.getEmail()).dni(buyer.getDni()).comboEntities(buyer.getComboEntities()).build();" is 169.,39
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,BuyerController,save,Long Statement,The length of the statement "buyerService.save(BuyerEntity.builder().name(buyerDto.getName()).dni(buyerDto.getDni()).email(buyerDto.getEmail()).build());" is 124.,56
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,ComboController,findByAll,Long Statement,The length of the statement "List<ComboDto> comboDtoList=comboService.findAll().stream().map(combo -> ComboDto.builder().name(combo.getName()).id(combo.getId()).price(combo.getPrice()).fruits(combo.getFruits()).buyerEntityList(combo.getBuyerEntityList()).build()).toList();" is 244.,25
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,ComboController,findById,Long Statement,The length of the statement "ComboDto comboDto=ComboDto.builder().id(comboEntity.get().getId()).name(comboEntity.get().getName()).price(comboEntity.get().getPrice()).fruits(comboEntity.get().getFruits()).buyerEntityList(comboEntity.get().getBuyerEntityList()).build();" is 239.,39
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,FruitController,findByAll,Long Statement,The length of the statement "List<FruitDto> fruitDtoList=fruitService.findAll().stream().map(fruit -> FruitDto.builder().name(fruit.getName()).id(fruit.getId()).price(fruit.getPrice()).combo(fruit.getCombo()).build()).toList();" is 198.,22
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,FruitController,findById,Long Statement,The length of the statement "FruitDto fruitDto=FruitDto.builder().id(comboEntity.get().getId()).name(comboEntity.get().getName()).combo(comboEntity.get().getCombo()).build();" is 145.,37
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,FruitController,save,Long Statement,The length of the statement "FruitEntity fruitEntity=FruitEntity.builder().name(fruitDto.getName()).price(fruitDto.getPrice()).combo(fruitDto.getCombo()).build();" is 133.,54
