Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
G3_Proyecto1_Contactos,Classes,Address,Address,8,1,6,20,0,,
G3_Proyecto1_Contactos,Classes,Address,getStreet,3,1,0,29,0,,
G3_Proyecto1_Contactos,Classes,Address,setStreet,3,1,1,33,0,,
G3_Proyecto1_Contactos,Classes,Address,getSecondaryStreet,3,1,0,37,0,,
G3_Proyecto1_Contactos,Classes,Address,setSecondaryStreet,3,1,1,41,0,,
G3_Proyecto1_Contactos,Classes,Address,getPostalCode,3,1,0,45,0,,
G3_Proyecto1_Contactos,Classes,Address,setPostalCode,3,1,1,49,0,,
G3_Proyecto1_Contactos,Classes,Address,getCity,3,1,0,53,0,,
G3_Proyecto1_Contactos,Classes,Address,setCity,3,1,1,57,0,,
G3_Proyecto1_Contactos,Classes,Address,getLabel,3,1,0,61,0,,
G3_Proyecto1_Contactos,Classes,Address,setLabel,3,1,1,65,0,,
G3_Proyecto1_Contactos,Classes,Address,getCountry,3,1,0,69,0,,
G3_Proyecto1_Contactos,Classes,Address,setCountry,3,1,1,73,0,,
G3_Proyecto1_Contactos,Classes,Company,Company,4,1,2,20,0,,
G3_Proyecto1_Contactos,Classes,Company,Company,3,1,1,25,0,,
G3_Proyecto1_Contactos,Classes,Company,getDepartment,3,1,0,29,0,,
G3_Proyecto1_Contactos,Classes,Company,setDepartment,3,1,1,33,0,,
G3_Proyecto1_Contactos,Classes,Company,getWebsite,3,1,0,37,0,,
G3_Proyecto1_Contactos,Classes,Company,setWebsite,3,1,1,41,0,,
G3_Proyecto1_Contactos,Classes,Company,getName,3,1,0,45,0,,
G3_Proyecto1_Contactos,Classes,Company,setName,3,1,1,49,0,,
G3_Proyecto1_Contactos,Classes,Company,getUrlProfilePic,3,1,0,53,0,,
G3_Proyecto1_Contactos,Classes,Company,setUrlProfilePic,3,1,1,57,0,,
G3_Proyecto1_Contactos,Classes,Company,getImages,3,1,0,61,0,,
G3_Proyecto1_Contactos,Classes,Company,setImages,3,1,1,65,0,,
G3_Proyecto1_Contactos,Classes,Company,getPhones,3,1,0,69,0,,
G3_Proyecto1_Contactos,Classes,Company,setPhones,3,1,1,73,0,,
G3_Proyecto1_Contactos,Classes,Company,getAddresses,3,1,0,77,0,,
G3_Proyecto1_Contactos,Classes,Company,setAddresses,3,1,1,81,0,,
G3_Proyecto1_Contactos,Classes,Company,getEmails,3,1,0,85,0,,
G3_Proyecto1_Contactos,Classes,Company,setEmails,3,1,1,89,0,,
G3_Proyecto1_Contactos,Classes,Company,getSpecialDates,3,1,0,93,0,,
G3_Proyecto1_Contactos,Classes,Company,setSpecialDates,3,1,1,97,0,,
G3_Proyecto1_Contactos,Classes,Company,getPhoto,3,1,0,101,0,,
G3_Proyecto1_Contactos,Classes,Company,setPhoto,3,1,1,105,0,,
G3_Proyecto1_Contactos,Classes,Contact,Contact,3,1,1,29,0,,
G3_Proyecto1_Contactos,Classes,Contact,Contact,4,1,2,33,0,,
G3_Proyecto1_Contactos,Classes,Contact,getName,3,1,0,39,0,,
G3_Proyecto1_Contactos,Classes,Contact,setName,3,1,1,43,0,,
G3_Proyecto1_Contactos,Classes,Contact,getUrlProfilePic,3,1,0,47,0,,
G3_Proyecto1_Contactos,Classes,Contact,setUrlProfilePic,3,1,1,51,0,,
G3_Proyecto1_Contactos,Classes,Contact,getImages,3,1,0,55,0,,
G3_Proyecto1_Contactos,Classes,Contact,setImages,3,1,1,59,0,,
G3_Proyecto1_Contactos,Classes,Contact,getPhones,3,1,0,63,0,,
G3_Proyecto1_Contactos,Classes,Contact,setPhones,3,1,1,67,0,,
G3_Proyecto1_Contactos,Classes,Contact,getAddresses,3,1,0,71,0,,
G3_Proyecto1_Contactos,Classes,Contact,setAddresses,3,1,1,75,0,,
G3_Proyecto1_Contactos,Classes,Contact,getEmails,3,1,0,79,0,,
G3_Proyecto1_Contactos,Classes,Contact,setEmails,3,1,1,83,0,,
G3_Proyecto1_Contactos,Classes,Contact,getSpecialDates,3,1,0,87,0,,
G3_Proyecto1_Contactos,Classes,Contact,setSpecialDates,3,1,1,91,0,,
G3_Proyecto1_Contactos,Classes,Contact,getPhoto,3,1,0,95,0,,
G3_Proyecto1_Contactos,Classes,Contact,setPhoto,3,1,1,99,0,,
G3_Proyecto1_Contactos,Classes,Email,Email,4,1,2,15,0,,
G3_Proyecto1_Contactos,Classes,Email,getText,3,1,0,20,0,,
G3_Proyecto1_Contactos,Classes,Email,setText,3,1,1,24,0,,
G3_Proyecto1_Contactos,Classes,Email,getLabel,3,1,0,28,0,,
G3_Proyecto1_Contactos,Classes,Email,setLabel,3,1,1,32,0,,
G3_Proyecto1_Contactos,Classes,Person,Person,3,1,2,23,0,,
G3_Proyecto1_Contactos,Classes,Person,getFirstName1,3,1,0,27,0,,
G3_Proyecto1_Contactos,Classes,Person,setFirstName1,3,1,1,31,0,,
G3_Proyecto1_Contactos,Classes,Person,getFirstName2,3,1,0,35,0,,
G3_Proyecto1_Contactos,Classes,Person,setFirstName2,3,1,1,39,0,,
G3_Proyecto1_Contactos,Classes,Person,getLastName1,3,1,0,43,0,,
G3_Proyecto1_Contactos,Classes,Person,setLastName1,3,1,1,47,0,,
G3_Proyecto1_Contactos,Classes,Person,getLastName2,3,1,0,51,0,,
G3_Proyecto1_Contactos,Classes,Person,setLastName2,3,1,1,55,0,,
G3_Proyecto1_Contactos,Classes,Person,getName,3,1,0,59,0,,
G3_Proyecto1_Contactos,Classes,Person,setName,3,1,1,63,0,,
G3_Proyecto1_Contactos,Classes,Person,getUrlProfilePic,3,1,0,67,0,,
G3_Proyecto1_Contactos,Classes,Person,setUrlProfilePic,3,1,1,71,0,,
G3_Proyecto1_Contactos,Classes,Person,getImages,3,1,0,75,0,,
G3_Proyecto1_Contactos,Classes,Person,setImages,3,1,1,79,0,,
G3_Proyecto1_Contactos,Classes,Person,getPhones,3,1,0,83,0,,
G3_Proyecto1_Contactos,Classes,Person,setPhones,3,1,1,87,0,,
G3_Proyecto1_Contactos,Classes,Person,getAddresses,3,1,0,91,0,,
G3_Proyecto1_Contactos,Classes,Person,setAddresses,3,1,1,95,0,,
G3_Proyecto1_Contactos,Classes,Person,getEmails,3,1,0,99,0,,
G3_Proyecto1_Contactos,Classes,Person,setEmails,3,1,1,103,0,,
G3_Proyecto1_Contactos,Classes,Person,getSpecialDates,3,1,0,107,0,,
G3_Proyecto1_Contactos,Classes,Person,setSpecialDates,3,1,1,111,0,,
G3_Proyecto1_Contactos,Classes,Person,getPhoto,3,1,0,115,0,,
G3_Proyecto1_Contactos,Classes,Person,setPhoto,3,1,1,119,0,,
G3_Proyecto1_Contactos,Classes,Phone,Phone,4,1,2,15,0,,
G3_Proyecto1_Contactos,Classes,Phone,getLabel,3,1,0,21,0,,
G3_Proyecto1_Contactos,Classes,Phone,setNumber,3,1,1,25,0,,
G3_Proyecto1_Contactos,Classes,Phone,setLabel,3,1,1,29,0,,
G3_Proyecto1_Contactos,Classes,Phone,getNumber,3,1,0,34,0,,
G3_Proyecto1_Contactos,Classes,SpecialDate,SpecialDate,4,1,2,16,0,,
G3_Proyecto1_Contactos,Classes,SpecialDate,getDate,3,1,0,21,0,,
G3_Proyecto1_Contactos,Classes,SpecialDate,setDate,3,1,1,25,0,,
G3_Proyecto1_Contactos,Classes,SpecialDate,getLabel,3,1,0,29,0,,
G3_Proyecto1_Contactos,Classes,SpecialDate,setLabel,3,1,1,33,0,,
G3_Proyecto1_Contactos,com.mycompany.g3_proyecto1_contactos,App,start,5,1,1,18,0,com.mycompany.g3_proyecto1_contactos.App,com.mycompany.g3_proyecto1_contactos.App
G3_Proyecto1_Contactos,com.mycompany.g3_proyecto1_contactos,App,setRoot,3,1,1,25,0,com.mycompany.g3_proyecto1_contactos.App,com.mycompany.g3_proyecto1_contactos.App
G3_Proyecto1_Contactos,com.mycompany.g3_proyecto1_contactos,App,loadFXML,4,1,1,29,0,,
G3_Proyecto1_Contactos,com.mycompany.g3_proyecto1_contactos,App,main,3,1,1,34,0,,
G3_Proyecto1_Contactos,com.mycompany.g3_proyecto1_contactos,ContactVisualizationController,initialize,2,1,2,18,0,,
G3_Proyecto1_Contactos,com.mycompany.g3_proyecto1_contactos,PrimaryController,switchToSecondary,3,1,0,8,0,com.mycompany.g3_proyecto1_contactos.App,com.mycompany.g3_proyecto1_contactos.App
G3_Proyecto1_Contactos,com.mycompany.g3_proyecto1_contactos,SecondaryController,switchToPrimary,3,1,0,8,0,com.mycompany.g3_proyecto1_contactos.App,com.mycompany.g3_proyecto1_contactos.App
G3_Proyecto1_Contactos,DataStructure,ArrayList,ArrayList,4,1,0,20,0,,
G3_Proyecto1_Contactos,DataStructure,ArrayList,addFirst,18,5,1,26,0,DataStructure.ArrayList,DataStructure.ArrayList
