Project Name,Package Name,Architecture Smell,Cause of the Smell
ProyectoEstructuras-main,Clases,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Contacto; Direccion; Email; Fecha; PersonaAdicional; RedSocial; Telefono]; [Foto]. LCC (Lack of Component Cohesion) = 0.25
ProyectoEstructuras-main,Controller,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Clases; ListTDA.
