Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
ProyectoEstructuras-main,Controller,App,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: pathFiles (19); pics (20); icons (21)
ProyectoEstructuras-main,Controller,CreacionContactosController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: ListTDA.ArrayG9
ProyectoEstructuras-main,Controller,CreacionContactosController,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: etiqueta1 (41); etiqueta2 (42); etiqueta3 (43); etiqueta4 (44); etiqueta5 (45); etiqueta6 (48); etiqueta7 (49); etiqueta8 (50); etiqueta9 (51); etiqueta10 (52); etiqueta11 (53); lstfotoPerfiles (56)
ProyectoEstructuras-main,Controller,EditarContactoController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Clases.Contacto; Clases.Foto
ProyectoEstructuras-main,Controller,EditarContactoController,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: contactoEditado (55); imagenContactoEditado (56); DatosAdicionales (57); newfoto (58)
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfor) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Fecha.getFecha; Clases.Contacto.getFecha
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfor) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getDir; Clases.Direccion.getUbicacion
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfor) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Telefono.getTlf; Clases.Contacto.getTlf
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfor) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getEmail; Clases.Email.getTipo
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfor) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getTlf; Clases.Telefono.getTipoTlf
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfor) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Direccion.getTipoDireccion; Clases.Contacto.getDir
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfor) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getFecha; Clases.Fecha.getTipoFecha
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfor) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getEmail; Clases.Email.getCorreo
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoContactosEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getTlf; Clases.Telefono.getTipoTlf
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoContactosEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Telefono.getTlf; Clases.Contacto.getTlf
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoContactosEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Direccion.getTipoDireccion; Clases.Contacto.getDir
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoContactosEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getDir; Clases.Direccion.getUbicacion
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoContactosEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getEmail; Clases.Email.getTipo
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoContactosEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getEmail; Clases.Email.getCorreo
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoContactosEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getFecha; Clases.Fecha.getTipoFecha
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoContactosEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Fecha.getFecha; Clases.Contacto.getFecha
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoCamposAdicionalesEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getUsername
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoCamposAdicionalesEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getUsername
ProyectoEstructuras-main,Controller,EditarContactoController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoCamposAdicionalesEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getTipoRedSocial
ProyectoEstructuras-main,Controller,EditarEmpresaController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Clases.Contacto; Clases.Foto
ProyectoEstructuras-main,Controller,EditarEmpresaController,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: empresaEditada (62); imagenEmpresaEditada (63); DatosAdicionalesEmpresa (64); newFotoEmpresa (65)
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (mostrarInformacion) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Fecha.getFecha; Clases.Contacto.getFecha
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (mostrarInformacion) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getDir; Clases.Direccion.getUbicacion
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (mostrarInformacion) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Telefono.getTlf; Clases.Contacto.getTlf
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (mostrarInformacion) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getEmail; Clases.Email.getTipo
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (mostrarInformacion) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getTlf; Clases.Telefono.getTipoTlf
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (mostrarInformacion) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Direccion.getTipoDireccion; Clases.Contacto.getDir
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (mostrarInformacion) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getFecha; Clases.Fecha.getTipoFecha
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (mostrarInformacion) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getEmail; Clases.Email.getCorreo
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (escribirArchivoContactosEditado) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getTlf; Clases.Telefono.getTipoTlf
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (escribirArchivoContactosEditado) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Telefono.getTlf; Clases.Contacto.getTlf
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (escribirArchivoContactosEditado) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Direccion.getTipoDireccion; Clases.Contacto.getDir
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (escribirArchivoContactosEditado) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getDir; Clases.Direccion.getUbicacion
