Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
ProyectoEstructuras-main,Clases,Contacto,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
ProyectoEstructuras-main,Controller,App,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: scene; pathFiles; pics; icons
ProyectoEstructuras-main,Controller,CreacionContactosController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoEstructuras-main,Controller,CreacionContactosController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: etiqueta1; etiqueta2; etiqueta3; etiqueta4; etiqueta5; etiqueta6; etiqueta7; etiqueta8; etiqueta9; etiqueta10; etiqueta11; lstfotoPerfiles; ni; c1; c2; l1; l2; l3; contAsociado; tempresa; tsitioweb; img; txnombre; txtelefono; txdireccion; txapellido; txtrabajo; txemail; txcalendario; btguardar; btback; vbcamposopcionales; hbpercontacto; hbsitioweb; hbempresa; btcampos; cbdireccion; cbtelefono; cbemail; cbfecha; btocultar; fotoPerfil; txtNombreEmpresa; txtDireccionEmpresa; txtTelefonoEmpresa; txtEmailEmpresa; txtFechaEmpresa; txtContactoAsoEmpresa; txtWebEmpresa; comboBoxDir; comboBoxTlf; comboBoxEmail; comboBoxFecha; comboBoxContAso; comboBoxWeb; fotoPerfilEmpresa; buttonSaveB
ProyectoEstructuras-main,Controller,EditarContactoController,Feature Envy,The tool detected a instance of this smell because escribirArchivoImagenAsociada is more interested in members of the type: Contacto
ProyectoEstructuras-main,Controller,EditarContactoController,Feature Envy,The tool detected a instance of this smell because EscribirArchivoContactosEditados is more interested in members of the type: Contacto
ProyectoEstructuras-main,Controller,EditarContactoController,Feature Envy,The tool detected a instance of this smell because EscribirArchivoCamposAdicionalesEditados is more interested in members of the type: Contacto
ProyectoEstructuras-main,Controller,EditarContactoController,Feature Envy,The tool detected a instance of this smell because escribirArchivosImagenesPersonEdit is more interested in members of the type: Contacto
ProyectoEstructuras-main,Controller,EditarContactoController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: contactoEditado; imagenContactoEditado; DatosAdicionales; newfoto; lbtitulo; newnombre; newapellido; imgfActual; newtelefono; bcell; newfecha; bfecha; newcontacto; badicional; newdireccion; bdireccion; newred; newempresa; newemail; bred; bemail; bteditarCon
ProyectoEstructuras-main,Controller,EditarEmpresaController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoEstructuras-main,Controller,EditarEmpresaController,Feature Envy,The tool detected a instance of this smell because EscribirArchivoCamposAdEditados is more interested in members of the type: Contacto
ProyectoEstructuras-main,Controller,EditarEmpresaController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: empresaEditada; imagenEmpresaEditada; DatosAdicionalesEmpresa; newFotoEmpresa; labelNombreEmpresa; labelTlfEmpresa; labelContactoEmpresa; labelAddressEmpresa; labelRedSocialEmpresa; labelEmailEmpresa; labelDateEmpresa; imagenEmpresa; comboBoxTlfEmpresa; comboBoxFechaEmpresa; comboBoxContactoAd; comboBoxDireccionEmpresa; comboBoxRedSocialEmpresa; comboBoxEmailEmpresa
ProyectoEstructuras-main,Controller,ImagenesAsociadasController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoEstructuras-main,Controller,ImagenesAsociadasController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: listaFotosAsociadas; indiceImagenActual; elementoFotoActual; nombreImagen; imagenActual; imagenActualAsociada
ProyectoEstructuras-main,Controller,ListaContactosController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ProyectoEstructuras-main,Controller,ListaContactosController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: contactoSelected; nombreSelected; apellidoSelected; contAdicional; redSoc; empresa; typeContactAdicional; typeRedSocial; selectedIndex; etiquetasPersonas; viewContactosCopia; listaContactos; lstCamposAdicionales; listViewContactos; contenedorList; pathFiles; ltitleApellido; ltitleDireccion; ltitleConAdicional; ltitlEtiquetas; cbEContacto; txdatoAbuscar; ponertexto; hbCabezera; lbcontactos; vblista; hbAnadir; btagregar; txtBuscador; visualizarButton; rdapellido; option1; rdireccion; rdcontactoasociado; vbdatosbusqueda; btocultar; vbcontenedorSecundario; hbotonesBusqueda; btbuscar; rdEtiquetas
ProyectoEstructuras-main,Controller,ListaContactosController,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
ProyectoEstructuras-main,Controller,LoginController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
