Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Complex Method,Cyclomatic complexity of the method is 10,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Long Statement,The length of the statement "eventoConsultar((String)cbgrupo.getValue()`(String)cbequipo1.getValue()`(String)cbequipo2.getValue()`vbox1`hboxmini`vboxmini`resultadoPartido`vbox0);" is 149.,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 10,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 20,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 10,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 20,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 10,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 10,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 10,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 20,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 10,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 2,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 5,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 8,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 10,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 20,57
proyectoFIFA,grupo8.proyectofifa,ConsultaPartidoController,faseEscogida,Magic Number,The method contains a magic number: 10,57
