Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
SistemaUrbanizacion-main,proyecto.clases,Colaborador,Colaborador,3,1,1,32,0,,
SistemaUrbanizacion-main,proyecto.clases,Colaborador,Colaborador,6,1,8,42,0,,
SistemaUrbanizacion-main,proyecto.clases,Colaborador,Colaborador,4,1,9,62,0,,
SistemaUrbanizacion-main,proyecto.clases,Colaborador,Colaborador,21,1,1,81,0,,
SistemaUrbanizacion-main,proyecto.clases,Colaborador,getPuestoTrabajo,3,1,0,105,0,,
SistemaUrbanizacion-main,proyecto.clases,Colaborador,setPuestoTrabajo,3,1,1,113,0,,
SistemaUrbanizacion-main,proyecto.clases,Colaborador,getEmpleo,3,1,0,121,0,,
SistemaUrbanizacion-main,proyecto.clases,Colaborador,setEmpleo,3,1,1,133,0,,
SistemaUrbanizacion-main,proyecto.clases,Colaborador,getFechaInicio,3,1,0,141,0,,
SistemaUrbanizacion-main,proyecto.clases,Colaborador,setFechaInicio,3,1,1,149,0,,
SistemaUrbanizacion-main,proyecto.clases,Colaborador,getFechaFin,3,1,0,157,0,,
SistemaUrbanizacion-main,proyecto.clases,Colaborador,setFechaFin,3,1,1,165,0,,
SistemaUrbanizacion-main,proyecto.clases,Colaborador,toString,21,1,0,173,0,,
SistemaUrbanizacion-main,proyecto.clases,Colaborador,toFilterByInformation,6,2,1,197,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,Permiso,3,1,0,29,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,Permiso,3,1,1,36,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,Permiso,11,1,6,46,0,proyecto.clases.Permiso,proyecto.clases.Permiso; proyecto.clases.Persona
SistemaUrbanizacion-main,proyecto.clases,Permiso,getGuardia,3,1,0,71,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,setGuardia,4,1,1,81,0,proyecto.clases.Persona,proyecto.clases.Persona
SistemaUrbanizacion-main,proyecto.clases,Permiso,getObservacion,3,1,0,92,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,setObservacion,3,1,1,101,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,getEstado,3,1,0,110,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,setEstado,3,1,1,119,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,getFechaCreacion,3,1,0,128,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,setFechaCreacion,3,1,1,136,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,getResidente,3,1,0,144,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,setResidente,4,1,1,153,0,proyecto.clases.Persona,proyecto.clases.Persona
SistemaUrbanizacion-main,proyecto.clases,Permiso,getVisitante,3,1,0,163,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,setVisitante,4,1,1,172,0,proyecto.clases.Persona,proyecto.clases.Persona
SistemaUrbanizacion-main,proyecto.clases,Permiso,getFechaVisita,3,1,0,182,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,setFechaVisita,3,1,1,190,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,getDuracion,3,1,0,198,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,setDuracion,3,1,1,206,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,getCodigoUnico,3,1,0,214,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,getResidenteNombre,3,1,0,222,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,setResidenteNombre,3,1,1,230,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,getVisitanteNombre,3,1,0,238,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,setVisitanteNombre,3,1,1,246,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,getGuardiaNombre,3,1,0,254,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,setGuardiaNombre,3,1,1,262,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,crearCodigoUnico,3,1,0,270,0,proyecto.clases.Persona,proyecto.clases.Persona
SistemaUrbanizacion-main,proyecto.clases,Permiso,toString,5,2,0,285,0,proyecto.clases.Colaborador,proyecto.clases.Colaborador; proyecto.clases.Persona
SistemaUrbanizacion-main,proyecto.clases,Permiso,actualizarEstado,13,6,0,301,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,equals,7,4,1,331,0,,
SistemaUrbanizacion-main,proyecto.clases,Permiso,compareTo,3,1,1,353,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,Persona,3,1,1,37,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,Persona,7,1,5,47,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,Persona,8,1,1,64,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,getCedula,3,1,0,75,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,setCedula,3,1,1,83,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,getNombre,3,1,0,91,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,setNombre,3,1,1,99,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,getTelefono,3,1,0,107,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,setTelefono,3,1,1,115,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,getEmail,3,1,0,123,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,setEmail,3,1,1,131,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,getEstado,3,1,0,139,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,setEstado,3,1,1,149,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,toString,9,1,0,159,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,equals,11,4,1,172,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,toInformation,3,1,0,196,0,,
SistemaUrbanizacion-main,proyecto.clases,Persona,toFilteredInformation,6,2,0,205,0,proyecto.clases.Persona,proyecto.clases.Persona
