Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
SistemaUrbanizacion-main,proyecto.clases,Reporte,Law of Demeter violation,The tool detected the smell in this method (Reporte) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Permiso.getVisitante; proyecto.clases.Persona.getNombre
SistemaUrbanizacion-main,proyecto.clases,Sistema,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: proyecto.clases.Colaborador; proyecto.clases.Visitante; proyecto.clases.Residente
SistemaUrbanizacion-main,proyecto.clases,Sistema,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: urbanizacion (45); visitantes (50); residentes (56); colaboradores (62); permisos (68)
SistemaUrbanizacion-main,proyecto.controllers,PermisosController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: proyecto.clases.Permiso; proyecto.clases.Visitante; proyecto.clases.Residente
SistemaUrbanizacion-main,proyecto.controllers,PermisosController,Law of Demeter violation,The tool detected the smell in this method (consultarPermiso) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Permiso.getResidente; proyecto.clases.Residente.getManzana
SistemaUrbanizacion-main,proyecto.controllers,PermisosController,Law of Demeter violation,The tool detected the smell in this method (consultarPermiso) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Permiso.getResidente; proyecto.clases.Residente.getVilla
SistemaUrbanizacion-main,proyecto.controllers,ReportesController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: proyecto.clases.Residente
SistemaUrbanizacion-main,proyecto.controllers,ReportesController,Law of Demeter violation,The tool detected the smell in this method (generar) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Permiso.getResidente; proyecto.clases.Persona.equals
SistemaUrbanizacion-main,proyecto.controllers,RevisionController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: proyecto.clases.Colaborador; proyecto.clases.Permiso
SistemaUrbanizacion-main,proyecto.controllers,RevisionController,Law of Demeter violation,The tool detected the smell in this method (initialize) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Permiso.getResidente; proyecto.clases.Persona.getNombre
SistemaUrbanizacion-main,proyecto.controllers,RevisionController,Law of Demeter violation,The tool detected the smell in this method (initialize) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Permiso.getVisitante; proyecto.clases.Persona.getNombre
SistemaUrbanizacion-main,proyecto.controllers,RevisionController,Law of Demeter violation,The tool detected the smell in this method (cancelarVisitaButton) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Visitante.setSanciones; proyecto.clases.Permiso.getVisitante
SistemaUrbanizacion-main,proyecto.controllers,RevisionController,Law of Demeter violation,The tool detected the smell in this method (cancelarVisitaButton) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Permiso.getVisitante; proyecto.clases.Visitante.getSanciones
SistemaUrbanizacion-main,proyecto.controllers,RevisionController,Law of Demeter violation,The tool detected the smell in this method (finalizarRegistro) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Visitante.setSanciones; proyecto.clases.Permiso.getVisitante
SistemaUrbanizacion-main,proyecto.controllers,RevisionController,Law of Demeter violation,The tool detected the smell in this method (finalizarRegistro) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Permiso.getVisitante; proyecto.clases.Visitante.getSanciones
SistemaUrbanizacion-main,proyecto.controllers,RevisionController,Law of Demeter violation,The tool detected the smell in this method (finalizarRegistro) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Permiso.getVisitante; proyecto.clases.Visitante.getSanciones
SistemaUrbanizacion-main,proyecto.controllers,RevisionController,Law of Demeter violation,The tool detected the smell in this method (buscarPermiso) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Permiso.getResidente; proyecto.clases.Persona.getNombre
SistemaUrbanizacion-main,proyecto.controllers,RevisionController,Law of Demeter violation,The tool detected the smell in this method (buscarPermiso) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Permiso.getVisitante; proyecto.clases.Persona.getNombre
SistemaUrbanizacion-main,proyecto.controllers,RevisionController,Law of Demeter violation,The tool detected the smell in this method (buscarPermiso) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Permiso.getVisitante; proyecto.clases.Visitante.getSanciones
SistemaUrbanizacion-main,proyecto.controllers,UrbanizacionController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: proyecto.clases.Colaborador
SistemaUrbanizacion-main,proyecto.controllers,UrbanizacionController,Law of Demeter violation,The tool detected the smell in this method (initialize) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Persona.getNombre; proyecto.clases.Urbanizacion.getAdmin
SistemaUrbanizacion-main,proyecto.controllers,UrbanizacionController,Law of Demeter violation,The tool detected the smell in this method (initialize) because the method voilates the law of Demeter. The long chain of method invocations is : proyecto.clases.Persona.getEmail; proyecto.clases.Urbanizacion.getAdmin
