Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
POO4_PROY2P_Lindao_Salinas_Zavala-main,Clases,Base,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: v; tipoBase; precio
POO4_PROY2P_Lindao_Salinas_Zavala-main,Clases,IncompleteFieldsException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
POO4_PROY2P_Lindao_Salinas_Zavala-main,Clases,IncompleteStageException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
POO4_PROY2P_Lindao_Salinas_Zavala-main,Clases,Pedido,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: idPedido; nombreCliente; precio; generarTransacci√
POO4_PROY2P_Lindao_Salinas_Zavala-main,Clases,Pedido,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Pagable
POO4_PROY2P_Lindao_Salinas_Zavala-main,Clases,Sabor,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: n; tipoSabor; precio
POO4_PROY2P_Lindao_Salinas_Zavala-main,com.pooespol.proyecto2_heladeria,ArmaTuHelado1Controller,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: valor; btnYogurtSelected; btnHeladoSelected; btnVeganoSelected; orden; lblValorPagar; btnContinuar; lblYogurt; lblHelado; lblVegano; btnYogurt; btnHelado; btnVegano; imgArmaTuHelado1; message
POO4_PROY2P_Lindao_Salinas_Zavala-main,com.pooespol.proyecto2_heladeria,ArmaTuHelado2Controller,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: cbx1Select; cbx2Select; valorcb1; valorcb2; valor2; sabor_1; sabor_2; imgArmaTuHelado2; valorTotal; cb1; cb2; btnContinuar; message
POO4_PROY2P_Lindao_Salinas_Zavala-main,com.pooespol.proyecto2_heladeria,ArmaTuHelado3Controller,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ck1; ck2; ck3; ck4; ck5; ck6; totalTopping; valor3; c1; c2; c3; c4; c5; c6; btnContinuar; chk1; chk2; chk3; chk4; chk5; chk6; imgArmaTuHelado3; valorPagar
POO4_PROY2P_Lindao_Salinas_Zavala-main,com.pooespol.proyecto2_heladeria,ArmaTuHelado4Controller,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: lista; selectedIndex; items; ValorPagar; idPd; btnCancelar; btnConfirmar; btnEliminar; pedido; valorPagar; imgArmaTuHelado4; message
POO4_PROY2P_Lindao_Salinas_Zavala-main,com.pooespol.proyecto2_heladeria,ArmaTuHelado5Controller,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
POO4_PROY2P_Lindao_Salinas_Zavala-main,com.pooespol.proyecto2_heladeria,ArmaTuHelado6Controller,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
POO4_PROY2P_Lindao_Salinas_Zavala-main,com.pooespol.proyecto2_heladeria,BienvenidaController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
POO4_PROY2P_Lindao_Salinas_Zavala-main,com.pooespol.proyecto2_heladeria,CancelarCompraController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
POO4_PROY2P_Lindao_Salinas_Zavala-main,com.pooespol.proyecto2_heladeria,DetalleUbicacionController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: lbl1; lbl2; lblTiempo; btnSalir; rootPopUp; t1; bandera; nombre; horario
POO4_PROY2P_Lindao_Salinas_Zavala-main,com.pooespol.proyecto2_heladeria,InicioController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; imgInicio; btnLogin; user; password; message
POO4_PROY2P_Lindao_Salinas_Zavala-main,com.pooespol.proyecto2_heladeria,PedidosGeneradosController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
POO4_PROY2P_Lindao_Salinas_Zavala-main,com.pooespol.proyecto2_heladeria,Principal,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: scene; path
POO4_PROY2P_Lindao_Salinas_Zavala-main,com.pooespol.proyecto2_heladeria,UbicacionesController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
