Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
jekins-main,com.mycompany.gymmembership,GymMembershipTest,testMembershipAvailability,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jekins-main,com.mycompany.gymmembership,GymMembershipTest,testFeatureAvailability,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
