Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
microservice-ecomerce-practice-spring-main,com.klashz.microcomments.client,UserClient,findById,0,1,1,14,0,,
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,CommentController,createComment,5,1,1,25,0,com.klashz.microcomments.CommentEntity,com.klashz.microcomments.CommentEntity
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,CommentController,getAllComments,12,1,0,31,0,,
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,CommentController,getCommentsByIdProduct,11,1,1,47,0,com.klashz.microcomments.CommentRepository,com.klashz.microcomments.CommentRepository; com.klashz.microcomments.dto.CommentDtoUser; com.klashz.microcomments.CommentEntity; com.klashz.microcomments.client.UserClient
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,CommentController,updateComment,14,2,2,61,0,com.klashz.microcomments.CommentEntity,com.klashz.microcomments.CommentEntity
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,CommentController,patchComment,10,2,2,76,0,com.klashz.microcomments.CommentEntity,com.klashz.microcomments.CommentEntity
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,CommentController,getComment,12,1,1,89,0,com.klashz.microcomments.dto.CommentDtoUser,com.klashz.microcomments.dto.CommentDtoUser; com.klashz.microcomments.CommentEntity; com.klashz.microcomments.client.UserClient
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,CommentController,deleteComment,3,1,1,102,0,,
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,CommentEntity,getId,3,1,0,19,0,,
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,CommentEntity,setId,3,1,1,23,0,,
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,CommentEntity,getIdProduct,3,1,0,27,0,,
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,CommentEntity,setIdProduct,3,1,1,31,0,,
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,CommentEntity,getMessage,3,1,0,35,0,,
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,CommentEntity,setMessage,3,1,1,39,0,,
