Project Name,Package Name,Architecture Smell,Cause of the Smell
microservice-ecomerce-practice-spring-main,com.klashz.microcomments,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.klashz.microcomments.dto; com.klashz.microcomments.client.
microservice-ecomerce-practice-spring-main,com.klashz.microorderitem,Ambiguous Interface,The tool detected the smell in this component because the component provides only a single general entry-point via the following class: MicroOrderItemApplication
